scenario_id,scenario_name,current_registry_status,current_implementation_status,required_data_class,required_data_rationale,required_data_fields,implementation_evidence,missing_data_reason,recommended_action,priority
AML-01,Structuring (Smurfing),Registered,Unimplemented,E,"창구 금융 현금 거래, 국외 세관 서류 분석, 통과 계좌 실시간 스크래핑, 부동산 포렌식 및 가상자산 주소 추적은 완전히 제품 범위 외","cash_deposit_records, atm_transaction_logs",N/A,자금세탁 쪼개기(Structuring) 탐지를 위한 금융권 수준의 창구 거래 및 현금 집행 추적 범위 이탈,보류,HOLD
AML-02,Trade-Based Laundering,Registered,Unimplemented,E,"창구 금융 현금 거래, 국외 세관 서류 분석, 통과 계좌 실시간 스크래핑, 부동산 포렌식 및 가상자산 주소 추적은 완전히 제품 범위 외","international_customs_cargo_invoices, shipping_freight_docs",N/A,무역 기반 자금세탁(TBML) 검증을 위한 해외 세관 인보이스 및 선하증권 실물 대조 불가,보류,HOLD
AML-03,Shell Company Invoice,Registered,Unimplemented,B,GL 외에 페이퍼 컴퍼니 식별용 화이트리스트 및 FATF 고위험 국가 코드 테이블 매핑 필요,"vendor_address_registry, company_website_whitelist",N/A,보조 데이터 모델(유령 회사 식별용 법인 등기부 주소지 데이터베이스) 부재,보조 마스터 데이터 매핑표 설계 및 업로드 기능 개발,P2
AML-04,Flow-Through Account,Registered,Unimplemented,E,"창구 금융 현금 거래, 국외 세관 서류 분석, 통과 계좌 실시간 스크래핑, 부동산 포렌식 및 가상자산 주소 추적은 완전히 제품 범위 외",bank_remittance_flows_realtime,N/A,통과 계좌(Pass-through) 실시간 잔액 감시 및 송수금 홀딩을 위한 은행 코어 시스템 연동 불가,보류,HOLD
AML-05,Early Repayment Anomaly,Registered,Unimplemented,E,"창구 금융 현금 거래, 국외 세관 서류 분석, 통과 계좌 실시간 스크래핑, 부동산 포렌식 및 가상자산 주소 추적은 완전히 제품 범위 외","loan_ledger, creditor_relationship_profiles",N/A,사채/차입금 상환 자금의 실질 원천 추적을 위한 금융 정보 접근 불가 및 정성 분석 영역,보류,HOLD
AML-06,Third-Party Payer,Registered,Unimplemented,E,"창구 금융 현금 거래, 국외 세관 서류 분석, 통과 계좌 실시간 스크래핑, 부동산 포렌식 및 가상자산 주소 추적은 완전히 제품 범위 외",customer_vendor_bank_remittance_names,N/A,제3자 대위변제 식별을 위한 송금 수취 대행사 계약 실물 정보 부재,보류,HOLD
AML-07,Jurisdiction High Risk,Registered,Unimplemented,B,GL 외에 페이퍼 컴퍼니 식별용 화이트리스트 및 FATF 고위험 국가 코드 테이블 매핑 필요,"entity_id (vendor), fatf_highrisk_country_blacklist",N/A,보조 데이터 모델(FATF 고위험 국가 및 제재 국가 코드표) 부재,보조 마스터 데이터 매핑표 설계 및 업로드 기능 개발,P2
AML-08,Integration Signal,Registered,Unimplemented,E,"창구 금융 현금 거래, 국외 세관 서류 분석, 통과 계좌 실시간 스크래핑, 부동산 포렌식 및 가상자산 주소 추적은 완전히 제품 범위 외","luxury_asset_valuation_records, real_estate_escrow_flows",N/A,부동산/미술품 등 실물 자산 통합을 통한 자금세탁 감지 범위 이탈,보류,HOLD
AML-09,Layering Pattern,Registered,Unimplemented,E,"창구 금융 현금 거래, 국외 세관 서류 분석, 통과 계좌 실시간 스크래핑, 부동산 포렌식 및 가상자산 주소 추적은 완전히 제품 범위 외",subsidiary_intercompany_transfers_forensic,N/A,계열사 간 복잡한 다단계 자금 세탁 구조에 대한 정밀 포렌식 감사 영역,보류,HOLD
AML-10,Dark Web Interaction,Registered,Unimplemented,E,"창구 금융 현금 거래, 국외 세관 서류 분석, 통과 계좌 실시간 스크래핑, 부동산 포렌식 및 가상자산 주소 추적은 완전히 제품 범위 외","cryptocurrency_wallet_addresses, threat_intelligence_feeds",N/A,다크웹 거래 및 가상자산 지갑 주소 추적을 위한 외부 블록체인 인텔리전스 인프라 부재,보류,HOLD
CC-01,Merchant Category Fraud,Registered,Unimplemented,C,실제 사용일자 및 승인시간 등은 GL 전표일자 및 기입시간과 상이하므로 카드 승인내역 원천 파일 매칭이 필수적임,"amount, mcc_code_mapping_table, restricted_vendor_keywords",N/A,카드 승인 제한 업종 분류 코드(MCC) 및 가맹점 매핑표 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
CC-02,Personal Grocery Expense,Registered,Unimplemented,C,실제 사용일자 및 승인시간 등은 GL 전표일자 및 기입시간과 상이하므로 카드 승인내역 원천 파일 매칭이 필수적임,"amount, retailer_whitelist_blacklist, vendor_keywords",N/A,마트/grocery 가맹점 실사용 거래 세부 정보 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
CC-03,Cash Withdrawal,Registered,Unimplemented,C,실제 사용일자 및 승인시간 등은 GL 전표일자 및 기입시간과 상이하므로 카드 승인내역 원천 파일 매칭이 필수적임,"amount, event_date, description (cash_withdrawal_mcc)",N/A,카드 승인 내역 내 ATM 현금서비스 식별 인덱스 및 매핑 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
CC-04,Insurance/Tax Mix,Registered,Unimplemented,C,실제 사용일자 및 승인시간 등은 GL 전표일자 및 기입시간과 상이하므로 카드 승인내역 원천 파일 매칭이 필수적임,"amount, employee_personal_data, chart_of_accounts",N/A,개인 세금/공과금 가맹점 카드 결제 매핑 및 대조 테이블 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
CC-05,Third-party Delivery,Registered,Unimplemented,C,실제 사용일자 및 승인시간 등은 GL 전표일자 및 기입시간과 상이하므로 카드 승인내역 원천 파일 매칭이 필수적임,"amount, employee_home_address_list, corporate_office_addresses",N/A,배달 가맹점 배송지 위치 데이터 및 임직원 주소지 정보 데이터베이스 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
CC-06,Recurring Unvouched,Registered,Unimplemented,C,실제 사용일자 및 승인시간 등은 GL 전표일자 및 기입시간과 상이하므로 카드 승인내역 원천 파일 매칭이 필수적임,"card_receipt_upload_logs, amount, event_date",N/A,법인카드 정산 시스템의 영수증 증빙 첨부 여부 로그 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
CC-07,Flight Class Violation,Registered,Unimplemented,C,실제 사용일자 및 승인시간 등은 GL 전표일자 및 기입시간과 상이하므로 카드 승인내역 원천 파일 매칭이 필수적임,"amount, employee_grade_master, travel_policy_limits",N/A,항공/철도 가맹점 승인 등급 상세 데이터 및 직급별 규정표 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
CC-08,Hotel Spoilage,Registered,Unimplemented,C,실제 사용일자 및 승인시간 등은 GL 전표일자 및 기입시간과 상이하므로 카드 승인내역 원천 파일 매칭이 필수적임,"amount, hotel_invoice_detail_parser, card_itemization_rules",N/A,호텔 인보이스 상세 항목(미니바/스파 등) 분리 파서 및 매핑표 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
CC-09,Gift Card Laundering,Registered,Unimplemented,C,실제 사용일자 및 승인시간 등은 GL 전표일자 및 기입시간과 상이하므로 카드 승인내역 원천 파일 매칭이 필수적임,"amount, vendor_classification_master, giftcard_vendor_keywords",N/A,편의점/백화점 등 상품권 유통 가능 가맹점의 상세 카드 승인 정보 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
CC-10,Ghost Merchant,Registered,Unimplemented,D,가맹점 사업자 등록번호 실시간 국세청/법원 등기부 상태 API 연동 없이는 신뢰도 있는 탐지 불가,"vendor_business_license_registry, nts_business_status_api, amount",N/A,가맹점 사업자 등록번호 실시간 국세청/법원 등기부 상태 API 연동 부재,국세청 사업자 상태 조회 외부 API 연동 기능 개발,P3
CL-01,FCPA - Success Fee,Registered,Unimplemented,B,"GL 외에 지역별 부패 지수 마스터, UN/OFAC 제재 대상 벤더 데이터베이스 및 경쟁업체 명단 매핑 필요","amount, country_risk_master",N/A,보조 데이터 모델(부패 고위험 지역 국가 리스트 마스터) 부재,보조 마스터 데이터 매핑표 설계 및 업로드 기능 개발,P2
CL-02,GDPR PII Leak,Registered,Unimplemented,E,"PII 파일 스캐닝, 포렌식 계열사 거래 검토, 노무상 불이익 조정 확인 및 SOX 설계 평가서는 회계 감사 범위 제외",shared_drives_dlp_scan_logs,N/A,비정형 데이터 드라이브 내 개인정보 누출(DLP) 검색 범위 이탈,보류,HOLD
CL-03,AML - Round-tripping,Registered,Unimplemented,E,"PII 파일 스캐닝, 포렌식 계열사 거래 검토, 노무상 불이익 조정 확인 및 SOX 설계 평가서는 회계 감사 범위 제외",general_ledger_remittance_loops_forensic,N/A,비즈니스 타당성 없는 자금 순환 거래에 대한 정성적 포렌식 감사 영역,보류,HOLD
CL-04,Sanctions Hit,Registered,Unimplemented,B,"GL 외에 지역별 부패 지수 마스터, UN/OFAC 제재 대상 벤더 데이터베이스 및 경쟁업체 명단 매핑 필요","entity_id (vendor), ofac_un_sanction_lists_master",N/A,보조 데이터 모델(OFAC/UN 제재 명단 마스터 데이터베이스) 부재,보조 마스터 데이터 매핑표 설계 및 업로드 기능 개발,P2
CL-05,Whistleblower Retaliation,Registered,Unimplemented,E,"PII 파일 스캐닝, 포렌식 계열사 거래 검토, 노무상 불이익 조정 확인 및 SOX 설계 평가서는 회계 감사 범위 제외","hr_performance_reviews_qualitative, whistleblower_reports",N/A,내부 고발자에 대한 인사 불이익 조치 판별을 위한 주관적 인사/노무 판단 영역,보류,HOLD
CL-06,Export Control Breach,Registered,Unimplemented,E,"PII 파일 스캐닝, 포렌식 계열사 거래 검토, 노무상 불이익 조정 확인 및 SOX 설계 평가서는 회계 감사 범위 제외","customs_declaration_logs, export_control_classification_numbers",N/A,수출 규제 품목 분류 및 국가별 세관 통관 내역 대조 범위 이탈,보류,HOLD
CL-07,Antitrust Meeting,Registered,Unimplemented,B,"GL 외에 지역별 부패 지수 마스터, UN/OFAC 제재 대상 벤더 데이터베이스 및 경쟁업체 명단 매핑 필요","amount, competitor_name_list_master",N/A,보조 데이터 모델(동종 경쟁업체 및 특수 관계 리스트 마스터) 부재,보조 마스터 데이터 매핑표 설계 및 업로드 기능 개발,P2
CL-08,Insider Trading Signal,Registered,Unimplemented,E,"PII 파일 스캐닝, 포렌식 계열사 거래 검토, 노무상 불이익 조정 확인 및 SOX 설계 평가서는 회계 감사 범위 제외","executives_personal_stock_trades, inside_information_timelines",N/A,임직원 개인 주식 거래 내역 및 미공개 정보 취급 대장 연동 불가능,보류,HOLD
CL-09,SOX Control Failure,Registered,Unimplemented,E,"PII 파일 스캐닝, 포렌식 계열사 거래 검토, 노무상 불이익 조정 확인 및 SOX 설계 평가서는 회계 감사 범위 제외",sox_control_testing_sheets_qualitative,N/A,SOX 내부통제 설계/운영 효과성 평가에 대한 외부 회계사의 정성 테스트 영역,보류,HOLD
CL-10,Permit Expiry,Registered,Unimplemented,D,정부 인허가 유효성 검증을 위한 인허가 발급 정보 외부 정부기관 API 실시간 연동 필요,"business_license_expiry_dates, government_permit_registry_api",N/A,정부 인허가 조회 시스템 및 외부 기관 유효 기간 실시간 API 연동 부재,인허가 관리 외부 시스템 연계 개발,P3
ES-01,Greenwashing - Carbon,Registered,Unimplemented,E,"탄소배출 증빙 검토, 분쟁광물 공급망 추적, 아동 노동 보고서 및 오프라인 재해 대조는 제품 범위 이탈",carbon_offset_certificate_metadata,N/A,탄소배출권 인증서 진위 여부 및 이중 사용 방지 정성 평가 범위 이탈,보류 (ESG 비재무적 성과 및 ESG 실무 감사 영역),HOLD
ES-02,Conflict Minerals,Registered,Unimplemented,E,"탄소배출 증빙 검토, 분쟁광물 공급망 추적, 아동 노동 보고서 및 오프라인 재해 대조는 제품 범위 이탈",conflict_minerals_supply_chain_tracing_records,N/A,분쟁 광물(3TG) 공급망 추적 보고서 분석 및 현지 실사 감사 영역,보류 (ESG 비재무적 성과 및 ESG 실무 감사 영역),HOLD
ES-03,Child Labor Indicator,Registered,Unimplemented,E,"탄소배출 증빙 검토, 분쟁광물 공급망 추적, 아동 노동 보고서 및 오프라인 재해 대조는 제품 범위 이탈",factory_labor_audit_reports,N/A,공장 근로 아동 실태 조사 보고서 정성 분석 범위 이탈,보류 (ESG 비재무적 성과 및 ESG 실무 감사 영역),HOLD
ES-04,Toxic Waste Dumping,Registered,Unimplemented,E,"탄소배출 증빙 검토, 분쟁광물 공급망 추적, 아동 노동 보고서 및 오프라인 재해 대조는 제품 범위 이탈","toxic_waste_disposal_invoices, production_mass_balance_reports",N/A,환경 오염 물질 배출량 실측 및 폐기 명세 대조 정성 감사 범위 이탈,보류 (ESG 비재무적 성과 및 ESG 실무 감사 영역),HOLD
ES-05,Diversity Quota Fraud,Registered,Unimplemented,E,"탄소배출 증빙 검토, 분쟁광물 공급망 추적, 아동 노동 보고서 및 오프라인 재해 대조는 제품 범위 이탈",contractor_labor_status_audit_sheets,N/A,도급 인력의 상근 상태 및 인사 분류 정성 감사 범위 이탈,보류 (ESG 비재무적 성과 및 ESG 실무 감사 영역),HOLD
ES-06,Safety Accident Cover-up,Registered,Unimplemented,E,"탄소배출 증빙 검토, 분쟁광물 공급망 추적, 아동 노동 보고서 및 오프라인 재해 대조는 제품 범위 이탈","petty_cash_receipts_medical_expense, lost_time_injury_logs",N/A,사고 은폐 방지를 위한 오프라인 재해 현장 대조 및 사내 소액현금 수기 검토 영역,보류 (ESG 비재무적 성과 및 ESG 실무 감사 영역),HOLD
EX-01,Spilling Receipt,Registered,Unimplemented,C,실제 사용일자 및 승인시간 등은 GL 전표일자 및 기입시간과 상이하므로 카드 승인내역 원천 파일 매칭이 필수적임,"amount, event_timestamp, card_number, vendor",N/A,카드 승인 내역의 초 단위 실시간 거래 타임스탬프 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
EX-02,Weekend/Night Usage,Registered,Unimplemented,C,실제 사용일자 및 승인시간 등은 GL 전표일자 및 기입시간과 상이하므로 카드 승인내역 원천 파일 매칭이 필수적임,"amount, event_date, event_time",N/A,카드 승인 상세 일시(주말/심야 실제 사용 시간대) 대조 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
EX-03,Remote Area Travel,Registered,Unimplemented,C,실제 사용일자 및 승인시간 등은 GL 전표일자 및 기입시간과 상이하므로 카드 승인내역 원천 파일 매칭이 필수적임,"amount, event_date, vendor_location, employee_office_location",N/A,카드 실제 승인 가맹점 위치 정보 및 임직원 소속/근무지 마스터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
EX-04,Luxury Item Purchase,Registered,Implemented,C,"법인카드 승인 내역의 실제 가맹점 정보가 필요하며, GL 전표 정보만으로는 적발 시 오탐 발생 위험이 높음","amount, event_date, vendor (entity_id), description",src-tauri/src/compliance_dd_flow.rs (run_compliance_check_flow),None (Implemented),None (Monitor performance),P1
EX-05,Duplicate Airfare,Registered,Unimplemented,C,실제 사용일자 및 승인시간 등은 GL 전표일자 및 기입시간과 상이하므로 카드 승인내역 원천 파일 매칭이 필수적임,"flight_booking_details, reimbursement_claims_ledger, card_transactions",N/A,개인 실비 청구 내역과 법인카드 승인 내역의 교차 대조용 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
EX-06,Mileage Personal Gain,Registered,Unimplemented,C,실제 사용일자 및 승인시간 등은 GL 전표일자 및 기입시간과 상이하므로 카드 승인내역 원천 파일 매칭이 필수적임,"airline_travel_logs, corporate_mileage_statements, employee_id",N/A,항공사 마일리지 적립 정보 및 임직원 마일리지 계정 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
EX-07,No-show Refund Fraud,Registered,Unimplemented,C,실제 사용일자 및 승인시간 등은 GL 전표일자 및 기입시간과 상이하므로 카드 승인내역 원천 파일 매칭이 필수적임,"travel_agency_refund_notices, card_refund_credits, booking_id",N/A,외부 여행사 환불 알림 데이터 및 취소 내역 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
EX-08,Hidden Entertainment,Registered,Unimplemented,C,실제 사용일자 및 승인시간 등은 GL 전표일자 및 기입시간과 상이하므로 카드 승인내역 원천 파일 매칭이 필수적임,"amount, account_code, description, department_budget_policy",N/A,카드 승인 원장 가맹점 상세 카테고리와 부서별 예산 통제 정책 테이블 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
EX-09,Commuter Fuel Abuse,Registered,Unimplemented,C,실제 사용일자 및 승인시간 등은 GL 전표일자 및 기입시간과 상이하므로 카드 승인내역 원천 파일 매칭이 필수적임,"fuel_card_receipts, vehicle_gps_logs, odometer_readings",N/A,업무용 차량 운행 일지(GPS) 및 주유 카드 승인 상세 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
EX-10,Subscription Shadow IT,Registered,Unimplemented,C,실제 사용일자 및 승인시간 등은 GL 전표일자 및 기입시간과 상이하므로 카드 승인내역 원천 파일 매칭이 필수적임,"amount, vendor (entity_id), approved_software_list",N/A,허용된 IT 구독 서비스 화이트리스트 및 법인카드 매월 정기 결제 내역 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
FA-01,Inter-office Suspense,Registered,Unimplemented,A,"GL 상의 임시 계정 코드, 일자, 적요, 수동 분개 구분값만으로 판단 가능","account_code, amount, event_date, clearance_status",N/A,임시 계정(가지급금/가수금) 결산 연령 분석(90일 초과 방치) 탐지 로직 미구현,개발 계획 수립 및 Sprint 8 Rust 판정 로직 구현,P0
FA-02,Manual Journal Abuse,Registered,Unimplemented,A,"GL 상의 임시 계정 코드, 일자, 적요, 수동 분개 구분값만으로 판단 가능","account_code, amount, event_date, posting_time, is_manual_journal",N/A,수동 분개 식별 필드 검증 및 비업무시간 수동 분개 탐지 로직 미구현,개발 계획 수립 및 Sprint 8 Rust 판정 로직 구현,P0
FA-03,FX Gain Shifting,Registered,Unimplemented,B,"GL 외에 고시 환율 테이블, 세액 환급 계정 매핑표 등 간단한 매핑 마스터 필요","amount, account_code, fx_rate_table, intercompany_policy",N/A,보조 데이터 모델(일자별 고시 환율 테이블 및 내부 정산 정책) 부재,보조 마스터 데이터 매핑표 설계 및 업로드 기능 개발,P2
FA-04,Expense Under-accrual,Registered,Unimplemented,A,"GL 상의 임시 계정 코드, 일자, 적요, 수동 분개 구분값만으로 판단 가능","account_code, amount, event_date, description",N/A,회계 기말 전후 전표 결산 컷오프(당기 비용 차기 이월) 검증 로직 미구현,개발 계획 수립 및 Sprint 8 Rust 판정 로직 구현,P0
FA-05,Tax Refund Leakage,Registered,Unimplemented,B,"GL 외에 고시 환율 테이블, 세액 환급 계정 매핑표 등 간단한 매핑 마스터 필요","amount, account_code, vat_refund_mapping_table",N/A,보조 데이터 모델(부가세 환급 대상 계정 매핑 및 대조 테이블) 부재,보조 마스터 데이터 매핑표 설계 및 업로드 기능 개발,P2
FA-06,Asset Capitalization Bias,Registered,Unimplemented,A,"GL 계정 코드 분류 및 분개 차/대변 분석, 특정 적요 키워드 필터링만으로 판단 가능","account_code, amount, description",N/A,수선비 등 비용 계정과 자산화 대상 계정 간의 금액 비율 비교 검증 로직 미구현,차기 스프린트 개발 대상 등록 및 탐지 알고리즘 설계,P1
FA-07,Dividend Compliance,Registered,Unimplemented,A,"GL 계정 코드 분류 및 분개 차/대변 분석, 특정 적요 키워드 필터링만으로 판단 가능","account_code, amount, event_date",N/A,배당금 지급 계정의 적격성 판단 및 기입 한도 검증 로직 미구현,차기 스프린트 개발 대상 등록 및 탐지 알고리즘 설계,P1
FA-08,Restricted Cash Leak,Registered,Unimplemented,A,"GL 계정 코드 분류 및 분개 차/대변 분석, 특정 적요 키워드 필터링만으로 판단 가능","account_code, amount, event_date",N/A,특정 제한 예치금 계정에서의 비정상 인출 거래 필터링 로직 미구현,차기 스프린트 개발 대상 등록 및 탐지 알고리즘 설계,P1
FA-09,Related Party Omission,Registered,Unimplemented,A,"GL 계정 코드 분류 및 분개 차/대변 분석, 특정 적요 키워드 필터링만으로 판단 가능","account_code, amount, entity_id (vendor), description",N/A,특수관계자 거래 키워드 및 대조 리스트 탐지 로직 미구현,차기 스프린트 개발 대상 등록 및 탐지 알고리즘 설계,P1
FA-10,Audit Trail Deletion,Registered,Unimplemented,D,ERP 시스템 접속 이력 또는 DB 감사 로그 원천 연동 없이는 검사 불가능,"db_audit_logs, database_access_credentials_log",N/A,DBMS 시스템 감사 로그 및 DB 접근 이력 데이터 연동 파이프라인 부재,시스템 감사 로그(Syslog/SIEM) API 연동 아키텍처 수립 및 연계 모듈 개발,P3
FF-01,Rapid Money Cycling (Ping-pong),Registered,Unimplemented,C,실제 송금 수취인 실명 확인용 은행 거래 명세서 및 펌뱅킹 이체 거래 원천 정보 적재 필수,"bank_transaction_logs, counterparty_account_owner_mapping, transfer_flow",N/A,은행 계좌 실시간 송수금 상세 거래 내역 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
FF-02,Lapping & Ledger Delay,Registered,Unimplemented,C,실제 송금 수취인 실명 확인용 은행 거래 명세서 및 펌뱅킹 이체 거래 원천 정보 적재 필수,"bank_inflow_outflow_logs, general_ledger_booking_dates, cash_receipt_logs",N/A,실제 은행 입출금 일자와 전표 기입 일자 크로스 매칭용 은행 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
FF-03,Registered Vendor Mismatch,Registered,Unimplemented,C,실제 송금 수취인 실명 확인용 은행 거래 명세서 및 펌뱅킹 이체 거래 원천 정보 적재 필수,"bank_transaction_recipient_names, vendor_master_bank_details, employee_bank_accounts",N/A,은행 송금 수취인 실명(임직원 계좌 여부)과 전표 거래처 간 대조용 은행 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
FF-04,Structured Threshold Monitor,Registered,Unimplemented,A,GL 분개 중 동일 거래처 대상 특정 단기 내 누적 금액 임계치 분석만으로 판단 가능,"amount, event_date, entity_id (vendor)",N/A,동일 거래처에 대해 기준 한도 직전 다중 거래 발생 탐지 로직 미구현,개발 계획 수립 및 Rust 판정 로직 구현,P1
FF-05,Inactive Project Account Drain,Registered,Unimplemented,C,프로젝트 예산 관리 명세 및 계좌별 실물 입출금 원천 데이터 대조 필요,"project_accounting_ledger, bank_statements, amount",N/A,개별 프로젝트 예산 대장 및 장기 미집행 계정의 은행 거래 상세 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
HR-01,Ghost Payroll Entry,Registered,Unimplemented,C,"인사 마스터 정보 외에 실제 출퇴근 카드 태깅 시간, 퇴직금 계산 대장, 외부 교육 이수증 정보 등 추가 원천 대조 필요","payroll_ledger, employee_master, time_attendance_badge_logs",N/A,"인사 마스터와 급여 대장, 그리고 출퇴근 카드 태깅 기록 간의 삼자 대조용 원천 데이터 부재",추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
HR-02,Overtime Fraud,Registered,Unimplemented,C,"인사 마스터 정보 외에 실제 출퇴근 카드 태깅 시간, 퇴직금 계산 대장, 외부 교육 이수증 정보 등 추가 원천 대조 필요","overtime_claims_ledger, time_attendance_badge_logs",N/A,연장근로 신청 내역과 실제 게이트 출입 태깅 시간 대조용 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
HR-03,Benefit Scoping,Registered,Unimplemented,C,"수혜 자격 요건 테이블, 항공 임차 계약 상세 내역 등 추가 원천 데이터 대조 필요","payroll_ledger, benefit_eligibility_rules",N/A,복리후생 지급 규정표 및 수혜 자격 조건 데이터베이스 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P3
HR-04,Severance Manipulation,Registered,Unimplemented,C,"인사 마스터 정보 외에 실제 출퇴근 카드 태깅 시간, 퇴직금 계산 대장, 외부 교육 이수증 정보 등 추가 원천 대조 필요","payroll_ledger, employment_contracts, severance_calc_sheets",N/A,"근로계약서상 입사일과 급여대장, 퇴직금 산정표 간의 이력 대조용 원천 데이터 부재",추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
